danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,genre,song_name,title
0.699,0.945,-0.942,0.306,0.0289,0.0,0.362,0.861,0.6807,0.1577,12,Null,Headbangers:Dubstep/Riddim
0.709,0.911,-1.611,0.0591,0.0522,0.525,0.11,0.379,0.7901,0.3127,13,Null,Drum and Bass - 2015 to 2020
0.505,0.641,-7.486,0.0382,0.0011,0.0015,0.122,0.164,0.5905,0.2454,10,Null,Vocal Melodic Trance Top 1000
0.563,0.902,-5.109,0.0458,0.0002,0.876,0.0974,0.16,0.6265,0.3048,11,Null,Psytrance New Releases 2020
0.643,0.907,-6.167,0.372,0.111,0.0,0.437,0.777,0.7346,0.2347,5,"Bust It Baby, Pt. 2",Null
0.807,0.918,-10.626,0.0516,0.0017,0.901,0.0805,0.452,0.5765,0.4346,8,Null,Tech House 2020
0.677,0.732,-6.86,0.171,0.194,0.0,0.0907,0.32,0.4997,0.3037,4,Grindin',Null
0.379,0.742,-12.989,0.0366,0.0007,0.715,0.19,0.236,0.5811,0.4874,10,Null,Top Trance Songs EVER
0.651,0.882,-6.129,0.0566,0.0001,0.801,0.168,0.53,0.6491,0.5367,11,Null,"Psy, Goa, Full on Trance"
0.669,0.683,-8.338,0.046,0.0002,0.86,0.141,0.21,0.5992,0.4193,10,Null,"Uplifting Trance, Euphoric Trance"
0.598,0.95,-7.023,0.0495,0.0001,0.789,0.672,0.118,0.6264,0.4626,11,Null,PSYTRANCE BANGERS best new 2020
0.661,0.573,-8.407,0.0425,0.0835,0.0,0.107,0.347,0.7448,0.1922,0,Bittersweet,Null
0.47,0.968,-8.386,0.0472,0.0,0.819,0.11,0.276,0.6582,0.5914,11,Null,PsyTrance 2020 felipe
0.802,0.883,-4.768,0.0416,0.0004,0.908,0.0882,0.204,0.572,0.2175,8,Null,Dirtybird Players
0.935,0.552,-9.373,0.335,0.111,0.0,0.0952,0.615,0.4539,0.1595,4,Faucet Failure,Null
0.884,0.818,-8.489,0.101,0.0036,0.324,0.123,0.604,0.5675,0.2425,8,Null,Tech House Pizza
0.709,0.585,-5.886,0.0903,0.0052,0.0,0.124,0.356,0.5902,0.1959,1,Off My Chest (feat. Lil Pump),Null
0.768,0.85,-6.606,0.0458,0.0215,0.0,0.305,0.251,0.5558,0.0884,1,Fuck What You Heard (Fwyh),Null
0.607,0.976,-4.53,0.0699,0.0092,0.105,0.368,0.142,0.572,0.2776,10,Null,Vocal Melodic Trance Top 1000
0.443,0.248,-15.364,0.114,0.0901,0.0905,0.138,0.169,0.7402,0.2273,7,Welcome to the Hell Zone,Null
0.509,0.824,-7.849,0.0761,0.0007,0.911,0.0828,0.0917,0.6353,0.1897,0,limerence,Null
0.682,0.986,-0.78,0.307,0.151,0.019,0.441,0.791,0.6807,0.2804,12,Null,Lost Lands 2019
0.487,0.941,-7.142,0.0496,0.0005,0.93,0.156,0.0481,0.6081,0.2042,10,Null,Trance Mission
0.771,0.579,-8.318,0.226,0.638,0.0,0.141,0.196,0.5223,0.1851,0,Diamonds,Null
0.422,0.912,-4.098,0.0492,0.0033,0.402,0.157,0.125,0.7894,0.2572,13,Null,Massive Drum & Bass
0.436,0.492,-9.207,0.0318,0.782,0.0,0.305,0.535,0.7432,0.25,3,Forget Me Not,Null
0.831,0.558,-3.551,0.242,0.018,0.0,0.094,0.338,0.6445,0.1833,1,Do It Myself,Null
0.448,0.798,-5.902,0.292,0.412,0.0,0.253,0.422,0.8484,0.2228,7,Rooftops,Null
0.535,0.877,-2.181,0.0465,0.033,0.0002,0.144,0.115,0.681,0.2646,14,Null,Euphoric Hardstyle
0.871,0.879,-3.729,0.239,0.0153,0.0002,0.116,0.49,0.7536,0.1393,0,Lil Motorola,Null
0.496,0.529,-9.243,0.0303,0.0495,0.0,0.098,0.223,0.7039,0.2018,4,Doomsday,Null
0.622,0.846,-6.819,0.0649,0.0046,0.0014,0.0909,0.135,0.6265,0.265,10,Null,Top Trance Songs EVER
0.712,0.759,-5.397,0.334,0.016,0.0808,0.217,0.738,0.3591,0.2731,4,Yonkers,Null
0.73,0.963,-1.459,0.149,0.0553,0.0003,0.297,0.735,0.6811,0.2398,12,Null,I'm a fucking Headbanger
0.94,0.415,-10.072,0.357,0.0301,0.0,0.0868,0.468,0.9075,0.1917,1,Glock Talk,Null
0.67,0.842,-6.036,0.102,0.0355,0.0001,0.165,0.363,0.6355,0.1278,2,IWantTheSkyToBreak,Null
0.841,0.576,-7.593,0.125,0.289,0.0,0.105,0.278,0.8716,0.1645,1,Fuckthepopulation,Null
0.775,0.539,-4.303,0.0881,0.372,0.0,0.225,0.624,0.6581,0.232,1,Cake,Null
0.481,0.966,-1.915,0.15,0.0184,0.0,0.176,0.302,0.6581,0.2919,12,Null,I'm a fucking Headbanger
0.512,0.982,-6.689,0.0688,0.0,0.855,0.955,0.72,0.6945,0.481,11,Null,Psytrance: From Full on to Forrest Trance
0.505,0.934,-5.06,0.0415,0.0953,0.0179,0.339,0.307,0.6814,0.184,14,Null,Best of Hardstyle 2020
0.519,0.97,-4.252,0.0523,0.0233,0.0217,0.225,0.134,0.6812,0.2033,14,Null,Euphoric Hardstyle & Melodic Hardstyle
0.324,0.914,-6.676,0.0731,0.0007,0.773,0.11,0.0688,0.6359,0.4318,11,Null,PsyTrance 2020 By GMR
0.754,0.706,-9.557,0.0565,0.0011,0.842,0.114,0.228,0.572,0.4388,9,Null,Top Techno Tracks 2020
0.649,0.929,-1.223,0.0642,0.0002,0.266,0.379,0.357,0.7945,0.4296,13,Null,Drum and Bass - 2015 to 2020
0.838,0.932,-3.545,0.327,0.0398,0.0,0.0801,0.445,0.6808,0.0842,1,Second Lines Come With Broken Souls,Null
0.789,0.74,-12.776,0.0967,0.0223,0.75,0.113,0.239,0.5811,0.4354,9,Null,|DARK|HARD|TECHNO
0.821,0.904,-3.687,0.0972,0.0361,0.164,0.429,0.105,0.6586,0.241,12,Null,Riddim Dubstep 2017-2018-2019
0.692,0.884,-7.692,0.0672,0.0134,0.002,0.157,0.884,0.8311,0.3031,7,Halftime - Butcher Remix,Null
0.935,0.429,-6.697,0.118,0.0308,0.0,0.102,0.0769,0.6355,0.1352,0,2nd Hand,Null
0.686,0.79,-5.752,0.0501,0.0003,0.864,0.28,0.0378,0.5902,0.5191,9,Null,techno. only. (08/02)
0.692,0.521,-8.465,0.33,0.301,0.0,0.0565,0.463,0.456,0.3209,4,No Role Modelz,Null
0.635,0.632,-8.21,0.275,0.0002,0.0,0.0615,0.233,0.7355,0.2742,0,Real in My Veins (feat. T-Shyne),Null
0.463,0.789,-6.044,0.0695,0.0052,0.0,0.095,0.13,0.6806,0.235,12,Null,I'm a fucking Headbanger
0.759,0.73,-7.985,0.0516,0.145,0.0,0.11,0.74,0.5221,0.294,0,Murder On My Mind,Null
0.626,0.848,-4.075,0.0564,0.0178,0.878,0.158,0.22,0.7899,0.405,13,Null,Liquid Drum & Bass
0.759,0.684,-5.411,0.346,0.15,0.0009,0.0702,0.457,0.8243,0.0965,0,Hexagon,Null
0.513,0.745,-5.41,0.0337,0.0036,0.894,0.24,0.299,0.7896,0.246,13,Null,UKF Drum & Bass - All Uploads
0.295,0.754,-6.962,0.048,0.0982,0.373,0.0694,0.13,0.6796,0.2633,14,Null,Euphoric Hardstyle - 2020
0.551,0.675,-6.695,0.364,0.224,0.0,0.2,0.877,0.5404,0.1989,7,Cash Still Rules / Scary Hours (Still Don't Nothing Move but the Money),Null
0.942,0.576,-9.03,0.248,0.0119,0.66,0.142,0.878,0.5627,0.2477,8,Null,Tech House Elrow Secrets
0.523,0.954,-4.814,0.179,0.0082,0.0176,0.925,0.306,0.6811,0.2243,14,Null,Euphoric Hardstyle & Melodic Hardstyle
0.549,0.497,-8.635,0.0256,0.0058,0.781,0.131,0.184,0.9079,0.262,0,My Will To,Null
0.737,0.707,-11.113,0.448,0.514,0.0,0.393,0.561,0.4454,0.3165,4,Ill Mind of Hopsin 5,Null
0.863,0.838,-4.593,0.24,0.138,0.0,0.0533,0.756,0.8897,0.2563,7,California,Null
0.799,0.886,-3.999,0.0553,0.0012,0.92,0.067,0.417,0.5719,0.287,8,Null,tech house
0.492,0.903,-7.105,0.0636,0.0129,0.114,0.116,0.0667,0.6809,0.2322,0,Flight,Null
0.628,0.933,-2.79,0.0909,0.0148,0.74,0.254,0.535,0.7264,0.2366,12,Null,HEADBANGERS:Dubstep/Riddim
0.462,0.882,-9.014,0.0393,0.0003,0.811,0.341,0.526,0.6038,0.2301,10,Null,Uplifting Trance 2019
0.618,0.217,-15.372,0.0515,0.836,0.0002,0.538,0.0872,0.5266,0.2213,0,Will He,Null
0.699,0.937,-1.251,0.324,0.0049,0.018,0.304,0.348,0.7943,0.3252,13,Null,Drum and Bass - Running 2020
0.524,0.781,-4.899,0.0964,0.0335,0.0001,0.135,0.361,0.8286,0.234,3,Seventy Times 7,Null
0.788,0.689,-7.211,0.13,0.0112,0.0,0.22,0.681,0.6176,0.2072,4,No Sleep Leak,Null
0.276,0.956,-2.032,0.0714,0.14,0.0399,0.0811,0.13,0.7035,0.2272,14,Null,Euphoric Hardstyle
0.619,0.948,-3.186,0.409,0.0249,0.0001,0.855,0.143,0.5902,0.1295,0,Rise from the Ashes,Null
0.564,0.705,-11.8,0.334,0.0053,0.462,0.177,0.0578,0.5811,0.2629,10,Null,Progressive Trance
0.858,0.705,-6.766,0.329,0.0087,0.0,0.524,0.854,0.9278,0.2931,1,Adrenaline!,Null
0.757,0.568,-11.835,0.0646,0.0355,0.904,0.0661,0.392,0.5538,0.5413,9,Null,Techno
0.488,0.967,-2.701,0.0755,0.0147,0.0,0.109,0.341,0.5943,0.2372,3,Six Feet Under The Stars,Null
0.443,0.949,-1.719,0.0464,0.0146,0.0006,0.108,0.155,0.6947,0.2163,14,Null,Ready2GetMaggot?
0.635,0.773,-4.923,0.0604,0.0644,0.0,0.187,0.623,0.6083,0.2158,3,The Phrase That Pays,Null
0.65,0.512,-8.256,0.0295,0.0925,0.0,0.144,0.135,0.6362,0.1483,7,BENZ | I Know,Null
0.736,0.604,-7.357,0.222,0.0652,0.0001,0.124,0.574,0.7036,0.2897,4,Codeine Dreaming (feat. Lil Wayne),Null
0.688,0.53,-5.507,0.0333,0.443,0.0,0.0995,0.162,0.4855,0.2253,3,Hold Me While You Wait,Null
0.556,0.91,-6.255,0.0522,0.0004,0.868,0.448,0.142,0.6445,0.4609,11,Null,PSYTRANCE BANGERS best new 2020
0.847,0.773,-7.365,0.232,0.0011,0.0,0.254,0.473,0.9341,0.347,1,I'm That Type Of Nigga,Null
0.805,0.669,-9.772,0.269,0.0008,0.0,0.0926,0.681,0.6078,0.1496,1,BLOODY SHOES,Null
0.396,0.554,-5.048,0.0488,0.222,0.0,0.612,0.17,0.5329,0.2985,4,way back,Null
0.705,0.888,-7.988,0.0693,0.0001,0.842,0.114,0.0365,0.6355,0.4619,11,Null,Psytrance 2020
0.6,0.723,-4.928,0.158,0.109,0.0,0.167,0.463,0.6804,0.2139,1,TELL ME WHY,Null
0.458,0.378,-11.354,0.15,0.416,0.0919,0.0966,0.037,0.7637,0.1936,7,Demons,Null
0.639,0.812,-4.113,0.0569,0.0773,0.0,0.115,0.5,0.8263,0.0809,1,NONSENSE,Null
0.38,0.888,-3.596,0.431,0.0028,0.171,0.652,0.279,0.7272,0.2899,12,Null,Heavy Dubstep
0.633,0.769,-4.727,0.0362,0.0229,0.523,0.0961,0.182,0.7897,0.3434,13,Null,Drum and Bass 2020
0.557,0.828,-3.317,0.0978,0.0196,0.321,0.137,0.278,0.5444,0.1676,2,Fear Is the Mind Killer,Null
0.483,0.557,-7.372,0.0709,0.0018,0.0,0.115,0.267,0.6941,0.1385,1,Fangirl (feat. Gab3),Null
0.728,0.703,-1.504,0.0456,0.0004,0.0001,0.112,0.202,0.6343,0.3154,12,Null,Riddim Dubstep
0.742,0.553,-8.98,0.419,0.389,0.0,0.0694,0.508,0.7711,0.2294,1,Blue World,Null
0.779,0.455,-15.025,0.28,0.0542,0.0,0.177,0.197,0.6363,0.168,4,Uber Everywhere,Null
0.713,0.493,-9.224,0.0356,0.0558,0.0013,0.129,0.178,0.6356,0.1645,0,Trust Me,Null
0.798,0.443,-6.062,0.0403,0.244,0.0,0.326,0.354,0.5685,0.321,1,Don't Matter,Null
0.501,0.869,-5.414,0.04,0.0003,0.792,0.0517,0.0857,0.7902,0.3897,13,Null,Liquid Drum and Bass
0.38,0.805,-11.351,0.0933,0.0004,0.897,0.497,0.189,0.6179,0.3739,10,Null,State if Trance (The best ASOT Epsidoes)
0.419,0.986,-6.079,0.0565,0.0001,0.327,0.343,0.105,0.6265,0.249,10,Null,Uplifting | Trance
0.374,0.951,-3.71,0.042,0.0002,0.552,0.385,0.291,0.7944,0.3124,13,Null,UKF Drum & Bass - All Uploads
0.714,0.864,-6.627,0.064,0.0018,0.813,0.108,0.113,0.6356,0.6571,11,Null,PsyTrance 2020 felipe
0.508,0.764,-5.207,0.041,0.0155,0.203,0.0544,0.17,0.7807,0.3507,13,Null,Drum and Bass Top 50
0.52,0.934,-4.426,0.0621,0.0005,0.0,0.0719,0.317,0.8709,0.2738,2,Twist Of Fate/ Cobra,Null
0.433,0.928,-8.7,0.0407,0.0031,0.621,0.546,0.112,0.6102,0.2368,10,Null,State if Trance (The best ASOT Epsidoes)
0.877,0.546,-4.953,0.158,0.0375,0.0,0.108,0.624,0.6401,0.1789,1,One Dolla,Null
0.647,0.749,-5.019,0.0478,0.0386,0.0,0.298,0.659,0.6976,0.2448,5,Pretty Girls (feat. Travie McCoy),Null
0.584,0.924,-3.089,0.0759,0.0166,0.0,0.0851,0.543,0.7986,0.244,13,Null,Liqduicity Drum & Bass
0.571,0.747,-4.659,0.17,0.478,0.0,0.116,0.635,0.9647,0.2844,5,TWIST & TURN (feat. Drake & PARTYNEXTDOOR),Null
0.793,0.441,-10.297,0.579,0.867,0.0,0.111,0.753,0.6786,0.0982,0,Dead and Cold,Null
0.774,0.812,-7.72,0.0796,0.005,0.927,0.107,0.122,0.5811,0.4028,9,Null,Techno Daily
0.751,0.809,-8.254,0.0696,0.239,0.0,0.101,0.34,0.6628,0.1884,0,Stuck In My Ways,Null
0.61,0.948,-8.271,0.0567,0.01,0.866,0.0701,0.443,0.5765,0.4202,9,Null,Dark Techno Rave
0.795,0.728,-4.712,0.0544,0.207,0.0,0.237,0.582,0.6672,0.2498,5,Wanted You (feat. Lil Uzi Vert),Null
0.584,0.868,-5.6,0.0377,0.0133,0.0198,0.12,0.428,0.5991,0.1913,10,Null,Best of Trance
0.551,0.975,-1.906,0.898,0.0629,0.0,0.367,0.418,0.6898,0.169,2,Fuckshit18!,Null
0.893,0.514,-5.08,0.283,0.18,0.0,0.0596,0.787,0.8702,0.24,1,"Alkaholik (feat. Erik Sermon, J Ro & Tash)",Null
0.707,0.924,-8.372,0.104,0.137,0.947,0.121,0.066,0.5811,0.3409,9,Null,|DARK|HARD|TECHNO
0.942,0.582,-7.385,0.265,0.002,0.0,0.0741,0.528,0.9078,0.1801,1,3 Choppaz,Null
0.69,0.903,-4.494,0.11,0.0352,0.0,0.13,0.212,0.6453,0.1241,2,Moonwalk,Null
0.507,0.962,-4.675,0.0999,0.008,0.575,0.225,0.0671,0.6264,0.2225,10,Null,Top Trance Songs EVER
